country_code,indicator_code_0,indicator_code_1,slope,intercept,r_value,p_value,std_err
PHL,BN.KLT.DINV.CD,BN.KLT.DINV.CD,1.0,0.0,1.0,4.375000000000076e-80,0.0
PHL,BN.KLT.DINV.CD,BX.GSR.GNFS.CD,3.7725891063562442,51653680051.12083,0.3484921074332546,0.3237043877102929,3.58744797110242
PHL,BN.KLT.DINV.CD,BM.GSR.GNFS.CD,4.317467039866266,62428868740.66821,0.36531808551835837,0.2992482794459407,3.889626025388348
PHL,BN.KLT.DINV.CD,SE.SEC.PROG.ZS,4.4230673165615327e-10,96.56918842800773,0.17032009500576667,0.6380459840659216,9.047326882758012e-10
PHL,BN.KLT.DINV.CD,SE.XPD.MPRM.ZS,-5.408909538080938e-10,85.84254472121019,-0.08805341633942916,0.8088696533205127,2.163357645685708e-09
PHL,BN.KLT.DINV.CD,SE.XPD.MSEC.ZS,-4.793119707629936e-10,78.88418521359587,-0.07955342269768848,0.8270740603177376,2.1234193741791344e-09
PHL,BN.KLT.DINV.CD,SE.XPD.MTER.ZS,7.553249908100973e-10,74.58244625157549,0.14581650504905339,0.687722471321994,1.8118210474077406e-09
PHL,BN.KLT.DINV.CD,SE.XPD.CPRM.ZS,1.0218720231965516e-10,94.32581506829212,0.0414714031118393,0.9094371697733032,8.704202744617701e-10
PHL,BN.KLT.DINV.CD,SE.XPD.CSEC.ZS,3.05266849262915e-10,93.27679011440122,0.11107546750994127,0.7599980873431292,9.656521819926157e-10
PHL,BN.KLT.DINV.CD,SE.XPD.CTER.ZS,1.110950015720334e-09,93.32600620826547,0.2670414917638544,0.4557512946578991,1.417443948896022e-09
PHL,BN.KLT.DINV.CD,SE.XPD.CTOT.ZS,1.6242802022990676e-11,93.68779544638261,0.006170274110841941,0.9865030392504627,9.306861097187353e-10
PHL,BN.KLT.DINV.CD,SI.DST.10TH.10,6.285095766467621e-10,33.413541466661506,0.40603458765909306,0.24431544409725292,5.001294814644684e-10
PHL,BN.KLT.DINV.CD,SI.DST.05TH.20,7.112289764699511e-10,49.39005167121568,0.4415435972689059,0.20142630924467858,5.109746855414124e-10
PHL,BN.KLT.DINV.CD,SI.DST.FRST.10,-6.364964995044573e-11,2.512769212078372,-0.3005660088513357,0.39875896156284607,7.14086344924384e-11
PHL,BN.KLT.DINV.CD,SI.DST.FRST.20,-1.755827147645244e-10,6.034086458725005,-0.39516966469912335,0.2583778962538224,1.4430569226132146e-10
PHL,BN.KLT.DINV.CD,SI.POV.GAPS,-5.044998875344222e-10,4.733251941770474,-0.22920235650305354,0.5241393714910869,7.574934520230224e-10
PHL,BX.GSR.GNFS.CD,BN.KLT.DINV.CD,0.032191883483587334,-1307137976.2054234,0.3484921074332546,0.3237043877102929,0.030612055496471426
PHL,BX.GSR.GNFS.CD,BX.GSR.GNFS.CD,1.0,0.0,1.0,4.375000000000076e-80,0.0
PHL,BX.GSR.GNFS.CD,BM.GSR.GNFS.CD,1.0709423861664251,7222997414.515144,0.9809679296590007,5.610076914236388e-07,0.07494592844402423
PHL,BX.GSR.GNFS.CD,SE.SEC.PROG.ZS,1.3608222351866205e-10,89.51126511692968,0.5672706288193933,0.08722140305980362,6.984676392306821e-11
PHL,BX.GSR.GNFS.CD,SE.XPD.MPRM.ZS,-3.0664311692875503e-10,101.93116283259481,-0.5404011603156343,0.10680955603530518,1.6880229026838363e-10
PHL,BX.GSR.GNFS.CD,SE.XPD.MSEC.ZS,-4.387333133380465e-10,102.02242972496337,-0.7882931730288747,0.0067468330412032524,1.2107504632610575e-10
PHL,BX.GSR.GNFS.CD,SE.XPD.MTER.ZS,-1.1521732634989676e-10,81.01562585245142,-0.24078929956528938,0.5027650176111387,1.6419721860527568e-10
PHL,BX.GSR.GNFS.CD,SE.XPD.CPRM.ZS,-5.1746165691301416e-11,97.11910209777973,-0.22734057515398076,0.5276079632715907,7.836692862325697e-11
PHL,BX.GSR.GNFS.CD,SE.XPD.CSEC.ZS,-1.4562212717055927e-10,101.1447183452943,-0.5736043496039458,0.08296782844641304,7.352314870966163e-11
PHL,BX.GSR.GNFS.CD,SE.XPD.CTER.ZS,-9.803711912307736e-11,98.98950275661421,-0.2551063836844311,0.47687583567357295,1.3137466341427502e-10
PHL,BX.GSR.GNFS.CD,SE.XPD.CTOT.ZS,-7.643758269288689e-11,97.75940252154471,-0.31433809051310696,0.376394355096187,8.161566039809825e-11
PHL,BX.GSR.GNFS.CD,SI.DST.10TH.10,1.4425482083835153e-11,32.90083769649479,0.10088533163661136,0.7815457696892035,5.029628407697373e-11
PHL,BX.GSR.GNFS.CD,SI.DST.05TH.20,3.857805295287184e-11,47.62637858477984,0.2592692515169762,0.4694597150429649,5.080819698120866e-11
PHL,BX.GSR.GNFS.CD,SI.DST.FRST.10,-8.488784787178905e-12,2.9384424996991663,-0.433946238055283,0.2102055308866669,6.231030498331494e-12
PHL,BX.GSR.GNFS.CD,SI.DST.FRST.20,-1.5720952802378366e-11,6.799056798315522,-0.3830251244578749,0.27461235292395325,1.3404647021084088e-11
PHL,BX.GSR.GNFS.CD,SI.POV.GAPS,-1.293027570999474e-10,11.40545656553316,-0.6359344460755396,0.04810980454991724,5.5478305244793784e-11
PHL,BM.GSR.GNFS.CD,BN.KLT.DINV.CD,0.03091101851490509,-1578911239.9623148,0.36531808551835837,0.2992482794459407,0.027847879549894643
PHL,BM.GSR.GNFS.CD,BX.GSR.GNFS.CD,0.898552612586504,-4485215401.711685,0.9809679296590007,5.610076914236388e-07,0.06288186990820441
