Aruba,ABW,0.11301836789216699,0.402562928283847
Afghanistan,AFG,0.09223896471468039,0.32902888129354857
Angola,AGO,-0.014953033966181733,0.8460874386136736
Albania,ALB,-0.019939668580801446,0.764591132445757
Andorra,AND,-0.017677918825753744,0.7663525613598114
Arab World,ARB,-0.013740074167691721,0.8001289809564528
United Arab Emirates,ARE,-0.01360098000689415,0.7865144505541283
Argentina,ARG,-0.015007713571238967,0.7492598572789171
Armenia,ARM,-0.017728338610672894,0.6887219781657372
American Samoa,ASM,-0.014567624975476765,0.7285520943731572
Antigua and Barbuda,ATG,-0.012971320631904417,0.7458116295671037
Australia,AUS,-0.011044069901656841,0.7731014885301625
Austria,AUT,-0.009342023165209727,0.7995895188283232
Azerbaijan,AZE,-0.016398326758513316,0.6436944472780981
Burundi,BDI,-0.015713203846481408,0.6463661263270952
Belgium,BEL,-0.014145648227401478,0.6696527243553277
Benin,BEN,-0.013585934189246142,0.6727425899696486
Burkina Faso,BFA,-0.013376615135865933,0.6686756273011969
Bangladesh,BGD,-0.013410453989421882,0.6593329307231635
Bulgaria,BGR,-0.014182576993472145,0.6323956765978839
Bahrain,BHR,-0.014378887481786983,0.6192016049207631
Bahamas The,BHS,-0.013346913005538358,0.6367920826567867
Bosnia and Herzegovina,BIH,-0.013697844115241239,0.620234488380103
Belarus,BLR,-0.010709905381534325,0.6922739807216507
Belize,BLZ,-0.009991928660044358,0.7062736034904662
Bermuda,BMU,-0.008991710873288797,0.7294429793935489
Bolivia,BOL,-0.011132433422434881,0.6625573886045879
Brazil,BRA,-0.016257333269970364,0.516329337834039
Barbados,BRB,-0.015663718261032727,0.5245165915307175
Brunei Darussalam,BRN,-0.015563575872324677,0.5201231396294236
Bhutan,BTN,-0.015076044121526392,0.5265249641454308
Botswana,BWA,-0.014677403407125224,0.5310190602544456
Central African Republic,CAF,-0.014382133635401743,0.5330362300059961
Canada,CAN,-0.013778287743380871,0.5443851709685996
Central Europe and the Baltics,CEB,-0.013219772357945327,0.5551085691658648
Switzerland,CHE,-0.012660024984253698,0.5665363112944243
Channel Islands,CHI,-0.012086429205630073,0.5790680290084023
Chile,CHL,-0.01308115332999215,0.5428721724033275
China,CHN,-0.013104285553542254,0.5368858296808374
Cote d'Ivoire,CIV,-0.01303569463839358,0.5338557453688232
Cameroon,CMR,-0.01299886466452357,0.5299460872093075
Congo Dem. Rep.,COD,-0.011498544192474121,0.5738901798374074
Congo Rep.,COG,-0.011213954409801467,0.578956266867825
Colombia,COL,-0.011811078624270534,0.5543704711722879
Comoros,COM,-0.011631623400469795,0.5559780152241381
Cabo Verde,CPV,-0.011492238135173773,0.5563952009233712
Costa Rica,CRI,-0.011404001545516311,0.5551879127181909
Caribbean small states,CSS,-0.011093900705787876,0.5618883308189457
Cuba,CUB,-0.011010731624624955,0.5607946735272558
Curacao,CUW,-0.010682238447101531,0.5686495031997487
Cayman Islands,CYM,-0.010448477096211642,0.57335353508788
Cyprus,CYP,-0.010370117505612723,0.5725135754753674
Czech Republic,CZE,-0.010086201484479864,0.5794701329222707
Germany,DEU,-0.009807027816737944,0.5865217861046389
Djibouti,DJI,-0.009545393121389445,0.5931645599003905
Dominica,DMA,-0.009309833533539244,0.5990338621322109
Denmark,DNK,-0.009089088592114453,0.6045354459663381
Dominican Republic,DOM,-0.009397750953381436,0.5890881888385535
Algeria,DZA,-0.009393428743461343,0.5860648488256921
East Asia & Pacific (excluding high income),EAP,-0.009170000754279444,0.5919005655386147
Early-demographic dividend,EAR,-0.008986648447832524,0.5963007408272123
East Asia & Pacific,EAS,-0.00877320791582572,0.6021087544564494
Europe & Central Asia (excluding high income),ECA,-0.00861423425966607,0.6058282598493813
Europe & Central Asia,ECS,-0.008409396987311472,0.6116277317857008
Ecuador,ECU,-0.008667791712115005,0.597895578917941
Egypt Arab Rep.,EGY,-0.008738823930955623,0.5920766412931681
Euro area,EMU,-0.00855762014103052,0.5970268534992454
Eritrea,ERI,-0.008438246868545211,0.5994550733668014
Spain,ESP,-0.008957064950184133,0.574413926523675
Estonia,EST,-0.00892357534166621,0.573090953189739
Ethiopia,ETH,-0.008834364529684786,0.5742219018621588
European Union,EUU,-0.008669424561039425,0.5787400896556779
Fragile and conflict affected situations,FCS,-0.008506986895324224,0.5832833043677278
Finland,FIN,-0.00835248430478178,0.5876048141379552
Fiji,FJI,-0.008202511337951314,0.5918473176253916
France,FRA,-0.008052604616457256,0.5962080244896959
Faroe Islands,FRO,-0.007878825268844552,0.6017901771129041
Micronesia Fed. Sts.,FSM,-0.007709612210111008,0.6073029084369708
Gabon,GAB,-0.007654346721909451,0.6075979488430872
United Kingdom,GBR,-0.007500403542995143,0.612608297185435
Georgia,GEO,-0.007449417259012762,0.6128238208211216
Ghana,GHA,-0.007461855547722046,0.6100425068022117
Gibraltar,GIB,-0.007307775474077125,0.6153023239218287
Guinea,GIN,-0.007229926237714869,0.6169670857295935
Gambia The,GMB,-0.007169890568241239,0.6178179288438407
Guinea-Bissau,GNB,-0.007141215148055713,0.6171694835613579
Equatorial Guinea,GNQ,-0.007042340372300316,0.6200327615108536
Greece,GRC,-0.007107581723870979,0.6147770501830132
Grenada,GRD,-0.0070313519568276465,0.6165887574301424
Greenland,GRL,-0.006938308961656463,0.6193058028645443
Guatemala,GTM,-0.00697288799650051,0.6156124784256358
Guam,GUM,-0.00683879672470826,0.6205137274563761
Guyana,GUY,-0.006788239778014888,0.6212164402655445
High income,HIC,-0.006672666802294275,0.6253233770929705
